Title,Author,ISBN,Average Rating,Publication Date,Rating
The Next Always,Nora Roberts,,4.12,,0
Face the Fire,Nora Roberts,,4.16,,0
Bittersweet Rain,Sandra Brown,,3.74,,0
Dirty Money,Jessica Clare,,3.62,,0
Billionaire on the Loose,Jessica Clare,,3.65,,0
The Billionaire’s Favorite Mistake,Jessica Clare,,3.60,,0
The Billionaire and the Virgin,Jessica Clare,,3.58,,0
One Night with a Billionaire,Jessica Clare,,3.97,,0
Romancing the Billionaire,Jessica Clare,,3.75,,0
Once Upon a Billionaire,Jessica Clare,,3.87,,0
The Wrong Billionaire's Bed,Jessica Clare,,4.00,,0
Beauty and the Billionaire,Jessica Clare,,4.02,,0
Stranded with a Billionaire,Jessica Clare,,3.82,,0
His Challenging Lover,Elizabeth Lennox,,4.10,,0
Fifty Shades Freed,E.L. James,,3.84,,0
Fifty Shades Darker,E.L. James,,3.83,,0
The Rocker That Savors Me,Terri Anne Browning,,4.24,,0
High Noon,Nora Roberts,,4.03,,0
After the Game,Abbi Glines,,3.91,,0
Like A Memory,Abbi Glines,,3.79,,0
The Best Goodbye,Abbi Glines,,4.09,,0
When You're Back,Abbi Glines,,4.11,,0
Until the End,Abbi Glines,,4.40,,0
When I'm Gone,Abbi Glines,,4.24,,0
Bad for You,Abbi Glines,,4.27,,0
Until Friday Night,Abbi Glines,,3.89,,0
Rush Too Far,Abbi Glines,,4.19,,0
Take a Chance,Abbi Glines,,4.13,,0
Just for Now,Abbi Glines,,4.23,,0
Because of Low,Abbi Glines,,4.12,,0
Breathe,Abbi Glines,,3.85,,0
Forever Too Far,Abbi Glines,,4.20,,0
Never Too Far,Abbi Glines,,4.17,,0
Fallen Too Far,Abbi Glines,,4.16,,0
Up in Flames,Abbi Glines,,3.87,,0
Earth and Fire,Janet Edwards,,4.33,,0
Supervillains Anonymous,Lexie Dunne,,3.95,,0
Superheroes Anonymous,Lexie Dunne,,3.78,,0
Chaser,Kylie Scott,,3.92,,0
Twist,Kylie Scott,,3.91,,0
Dirty,Kylie Scott,,3.88,,0
Play,Kylie Scott,,4.25,,0
Deep,Kylie Scott,,4.02,,0
Lead,Kylie Scott,,4.26,,0
Lick,Kylie Scott,,4.07,,0
Under a Vampire Moon,Lynsay Sands,,4.25,,0
Devil of the Highlands,Lynsay Sands,,4.04,,0
The Lady is a Vamp,Lynsay Sands,,4.24,,0
Born to Bite,Lynsay Sands,,4.22,,0
The Bite Before Christmas,Lynsay Sands,,4.16,,0
