Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",4,4.04,W.W. Norton & Company,Paperback,498,2005,1997,2020/06/22,2020/09/01,"owned, 2020","owned (#11), 2020 (#29)",read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",5,4.40,G.P. Putnam’s Sons,ebook,384,2018,2018,2020/06/30,2020/09/01,2020,2020 (#28),read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.37,Vintage,Paperback,512,2015,2011,2020/07/10,2020/09/01,"owned, 2020","owned (#12), 2020 (#27)",read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",5,4.12,Broadway Books,Paperback,456,2014,2012,2020/07/16,2020/09/01,2020,2020 (#25),read,,,,1,0
36446571,"Rise to Rebellion (The American Revolutionary War, #1)",Jeff Shaara,"Shaara, Jeff",,"=""""","=""""",5,4.21,,Unknown Binding,512,,2001,2020/08/14,2020/09/01,"owned, 2020","owned (#7), 2020 (#24)",read,,,,1,0
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",4,3.69,Crown,Hardcover,305,2017,2017,2020/09/01,2020/09/01,"owned, 2020","owned (#5), 2020 (#21)",read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,"=""0385737947""","=""9780385737944""",4,4.05,Delacorte Press,Hardcover,384,2009,2009,2020/09/02,2020/09/02,"owned, 2020","owned (#19), 2020 (#20)",read,,,,1,0
7631105,"The Scorch Trials (The Maze Runner, #2)",James Dashner,"Dashner, James",,"=""0385738757""","=""9780385738750""",3,3.90,Delacorte Press,Hardcover,362,2010,2010,2020/09/03,2020/09/03,"owned, 2020","owned (#20), 2020 (#19)",read,,,,1,0
13089710,"The Kill Order (The Maze Runner, #0.4)",James Dashner,"Dashner, James",,"=""0385742886""","=""9780385742887""",3,3.71,Delacorte Books for Young Readers,Hardcover,327,2012,2012,2020/09/06,2020/09/06,"owned, 2020","owned (#22), 2020 (#17)",read,,,,1,0
23267628,"The Fever Code (The Maze Runner, #0.5)",James Dashner,"Dashner, James",,"=""0553513095""","=""9780553513097""",4,4.05,Delacorte Press,Hardcover,347,2016,2016,2020/09/06,2020/09/06,"owned, 2020","owned (#23), 2020 (#16)",read,,,,1,0
